"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1990674818187080018","Tue Nov 18 06:53:56 +0000 2025","0","Kapolda Riau Irjen Pol Herry Heryawan meninjau langsung distribusi perdana Makan Bergizi Gratis (MBG) di TK Kemala Bhayangkari Meranti. Ia memastikan setiap anak menerima gizi aman dan berkualitas dari Dapur SPPG Polres Kepulauan Meranti yang baru beroperasi. SPPG ini https://t.co/ZG6filGWxj","1990674818187080018","https://pbs.twimg.com/media/G6BMMXLagAAlF_v.jpg","","in","","0","0","0","https://x.com/undefined/status/1990674818187080018","914484921418235904",
"1990668567164170342","Tue Nov 18 06:29:05 +0000 2025","1","Program Makan Bergizi Gratis hadir untuk memastikan anak usia sekolah mendapatkan asupan nutrisi yang layak setiap hari. #MakanBergiziGratis #AnakSehat #SekolahSehat #NutrisiBaik #GenerasiHebat #IndonesiaCerdas https://t.co/Awy7WdloxS","1990668567164170342","https://pbs.twimg.com/media/G6BGWVhbMAQgceo.jpg","","in","","0","1","0","https://x.com/undefined/status/1990668567164170342","2189844380",
"1990673013998784898","Tue Nov 18 06:46:46 +0000 2025","0","Kawal Distribusi MBG di Kecamatan Nangaroro Polres Nagekeo Terus Berkomitmen Sukseskan Program Makan Bergizi Gratis (MBG) #polriuntukmasyarakat #polresnagekeo #bekerjadenganhati #humaspoldantt #humaspolri https://t.co/Ut2nRrdzR2","1990673013998784898","","","in","","0","0","0","https://x.com/undefined/status/1990673013998784898","1646123618357903360",
"1990672569779867784","Tue Nov 18 06:45:00 +0000 2025","0","Polemik program Makan Bergizi Gratis (MBG) mencuat setelah pernyataan Wakil Ketua DPR. PERSAGI siapkan langkah konkret untuk pemenuhan tenaga gizi. https://t.co/FAZqjZ1S46","1990672569779867784","","","in","","0","0","0","https://x.com/undefined/status/1990672569779867784","104446991",
"1990669770132508939","Tue Nov 18 06:33:52 +0000 2025","0","Kebumen Jadi Lokasi Pilot Project Dapur Makan Bergizi Gratis oleh Badan Gizi Nasional https://t.co/EKAPZFbXQK","1990669770132508939","","","in","","0","0","0","https://x.com/undefined/status/1990669770132508939","4897217173",
"1990669579291377811","Tue Nov 18 06:33:07 +0000 2025","0","Makan bergizi gratis: kunci gizi tumbuh dan ekonomi bergerak! Apa pendapatmu tentang program ini? https://t.co/IOOlCQG8Re","1990669579291377811","https://pbs.twimg.com/media/G6BHbrBXoAAbgOc.jpg","","in","","0","0","0","https://x.com/undefined/status/1990669579291377811","2506280550",
"1990668844034339056","Tue Nov 18 06:30:11 +0000 2025","0","Kepala Badan Gizi Nasional (BGN) Dadan Hindayana merespons polemik berkenaan dengan pernyataan Wakil Ketua DPR RI Cucun Ahmad Syamsurijal mengenai keberadaan dan peran ahli gizi dalam Program Makan Bergizi Gratis (MBG). Dadan menegaskan bahwa BGN tetap memprioritaskan sarjana https://t.co/s7szXA98ml","1990668844034339056","https://pbs.twimg.com/media/G6BGwanbEAAy36M.jpg","","in","","0","0","0","https://x.com/undefined/status/1990668844034339056","121640063",
"1990673073100722292","Tue Nov 18 06:47:00 +0000 2025","0","Polemik program Makan Bergizi Gratis (MBG) mencuat setelah pernyataan Wakil Ketua DPR. PERSAGI siapkan langkah konkret untuk pemenuhan tenaga gizi. https://t.co/ZuoGKi35zw","1990673073100722292","","","in","","0","0","0","https://x.com/undefined/status/1990673073100722292","69183155",
"1990667918745743493","Tue Nov 18 06:26:31 +0000 2025","1","Anak sekolah butuh energi buat belajar. Program Makan Bergizi Gratis bantu kasih makanan sehat tiap hari! #MakanBergiziGratis #AnakSehat #SekolahSehat #NutrisiBaik #GenerasiHebat #IndonesiaCerdas https://t.co/jD90tNDx2E","1990667918745743493","https://pbs.twimg.com/media/G6BF1_ebIAAv1xy.jpg","","in","","0","1","0","https://x.com/undefined/status/1990667918745743493","965039592675028992",
"1990665922449904075","Tue Nov 18 06:18:35 +0000 2025","0","Kan udah jelas programnya Makan Bergizi Gratis tapi kaga butuh ahli gizi kan BODOH ya. Berarti memang programnya cuma ngasih makan doang layak apa kagak bukan urusan","1990665922449904075","","","in","","0","0","0","https://x.com/undefined/status/1990665922449904075","1212371693173260288",
"1990473526529180085","Tue Nov 18 06:15:44 +0000 2025","0","@ridwanadit NGEJUAL NAMA RAKYAT PALING JAGO SEMUA DEMI GIZI RAKYAT TAPI AHLI GIZI DAN GIZI MBG DISEPELEKAN. GOBLOK! NAMA PROGRAM MAKAN BERGIZI KALO NGAK ADA GIZI TUKAR AJA NAMA PROGRAM JADI MAKAN SIANG GRATIS","1990665206884880893","","ridwanadit","in","","0","0","0","https://x.com/undefined/status/1990665206884880893","953476834385059840",
"1990660001355165938","Tue Nov 18 05:55:03 +0000 2025","0","Kepala Kejaksaan Negeri Aceh Barat Daya Bambang Heripurwanto S.H. M.H. menghadiri Launching Makan Bergizi Gratis (MBG) di Kecamatan Babahrot yang dipusatkan di SMA Negeri 7 Aceh Barat Daya Senin (17/11/2025). https://t.co/0VUQ3ww60J","1990660001355165938","https://pbs.twimg.com/media/G6A-tM4aUAALj7Q.jpg","","in","","0","0","0","https://x.com/undefined/status/1990660001355165938","1260139563218948097",
"1990659517613551996","Tue Nov 18 05:53:08 +0000 2025","2","Prabowo Tegaskan Pemerintah Tanggung Jawab Penuh Atas MBG Perketat Pengawasan untuk 0 Penyimpangan Bekasi Presiden RI Prabowo Subianto menegaskan bahwa pemerintah bertanggung jawab penuh atas insiden yang muncul terkait program Makan Bergizi Gratis (MBG). Ia menekankan bahwa https://t.co/OREYFxtmjD","1990659517613551996","https://pbs.twimg.com/media/G6A-RR7aMAAADGl.jpg","","in","","0","0","2","https://x.com/undefined/status/1990659517613551996","121640063",
"1990659447384101255","Tue Nov 18 05:52:51 +0000 2025","0","Babinsa Koramil 1427-01/Pasangkayu Dampingi Program Makan Bergizi Gratis di Yayasan Mitra Wahid Sumut https://t.co/lFuTNxIhcJ https://t.co/OvqHMp9Wla","1990659447384101255","https://pbs.twimg.com/media/G6A-NasbMAMGZMe.jpg","","in","","0","0","0","https://x.com/undefined/status/1990659447384101255","1560251712166035457",
"1990658833207930895","Tue Nov 18 05:50:25 +0000 2025","0","Jadi judulnya harusnya makan anggaran gratis dong bukan makan bergizi gratis?","1990658833207930895","","","in","","0","0","0","https://x.com/undefined/status/1990658833207930895","973601688295686144",
"1990242570899947916","Tue Nov 18 05:42:48 +0000 2025","1","@Nabillasado @Roebanie Lingkungan toilet seharga Rp166 juta di Parepare berdasarkan berita terkini adalah bangunan sederhana berukuran 4x4 meter dengan 4 ruang dinding beton dan atap seng. Ini bagian dari program sekolah untuk hygiene pendukung makan bergizi gratis. Kalau maksudmu yang mewah ","1990656916771717522","","Nabillasado","in","","0","0","0","https://x.com/undefined/status/1990656916771717522","1720665183188922368",
"1990655461193101767","Tue Nov 18 05:37:01 +0000 2025","0","Wakil Ketua Komisi IX DPR RI Muhammad Yahya Zaini S.H. menilai kinerja Satuan Pelayanan Pemenuhan Gizi (SPPG) Polri dalam program Makan Bergizi Gratis (MBG) layak menjadi contoh nasional. https://t.co/jPH3IC2LKy","1990655461193101767","https://pbs.twimg.com/media/G6A6jSwbEAAGv78.jpg","","in","","0","0","0","https://x.com/undefined/status/1990655461193101767","438019972",
